Source,Destination,Weight
JOURNALISM,SPAIN,1.0
BOMBS & EXPLOSIVES,LEBANON,16.0
CITIES,CANADA,1.0
SPORTS GOVERNING BODIES,FRANCE,2.0
REAL ESTATE INVESTING,IRAN ISLAMIC REPUBLIC OF,1.0
RESORTS,BARBADOS,1.0
NATURAL GAS PRICES,SAUDI ARABIA,1.0
LOW INCOME PERSONS,IRAQ,1.0
EMBASSIES & CONSULATES,MACEDONIA THE FORMER YUGOSLAV REPUBLIC OF,1.0
WEALTHY PEOPLE,TUNISIA,24.0
INSURANCE COMPANY RATINGS,UNITED STATES,1.0
FORMULA ONE RACING,NORTH AMERICA,1.0
PROFILES & BIOGRAPHIES,MEXICO,1.0
WATER QUALITY,CHINA,1.0
ARRESTS,UGANDA,2.0
FULL SERVICE RESTAURANTS,IRELAND,1.0
VOLUNTEERS,IRAQ,2.0
STADIUMS & ARENAS,GHANA,2.0
TALKS & MEETINGS,BEIRUT LEBANON,5.0
RENEWABLE ENERGY,UNITED ARAB EMIRATES,8.0
DRAMA LITERATURE,MIDDLE EAST,2.0
TEXT MESSAGING,UNITED STATES,3.0
INVESTIGATIONS,ISRAEL,37.0
AMERICAN FOOTBALL,QUEENSLAND AUSTRALIA,2.0
WEB SITES,TUNISIA,3.0
SENTENCING,ALGERIA,2.0
AIR CHARTER SERVICES,UNITED KINGDOM,6.0
SPORTS & RECREATION,FRANCE,5.0
CONSULTING SERVICES,IRAQ,2.0
SUICIDE,DUBAI UNITED ARAB EMIRATES,1.0
ATHLETES,RUSSIAN FEDERATION,1.0
TOURNAMENTS,GERMANY,15.0
BRIBERY,BRAZIL,2.0
CRIMINAL CONVICTIONS,EGYPT,12.0
MORTGAGE LOANS,UNITED KINGDOM,2.0
ELECTIONS,BOSNIA & HERZEGOVINA,1.0
WRITERS & WRITING,BRAZIL,1.0
DIPLOMATIC SERVICES,NEW ZEALAND,1.0
POLITICS,KUWAIT,1.0
FOREIGN RELATIONS,EUROPE,3.0
SPONSORSHIP,QATAR,5.0
INDUSTRY CONSOLIDATION,MIDDLE EAST,4.0
DAYTIME TELEVISION,VICTORIA AUSTRALIA,1.0
WIKILEAKS CONTROVERSIES,AUSTRALIA,4.0
EDUCATION FUNDING,LONDON ENGLAND,3.0
SPORTS AWARDS,IRELAND,4.0
EMBEZZLEMENT,TUNISIA,15.0
LITIGATION,IRAQ,18.0
WEATHER,ANTIGUA & BARBUDA,1.0
SOCCER,ENGLAND,32.0
BESTSELLERS,ENGLAND,1.0
LEGISLATIVE BODIES,SUDAN,22.0
INTERGOVERNMENTAL TALKS,SAUDI ARABIA,2.0
PARAMEDICS,AFGHANISTAN,2.0
RANKINGS,ARGENTINA,1.0
AUTOMAKERS,CHINA,1.0
ELECTION FRAUD,SYRIA,1.0
ANTHROPOLOGY & ARCHAEOLOGY,TORONTO ON CANADA,1.0
SPORTS & RECREATION EVENTS,MOROCCO,9.0
ENVIRONMENTAL TREATIES & AGREEMENTS,NIGERIA,2.0
CIVIL SERVICES,HONG KONG,1.0
TEXT MESSAGING,SUDAN,2.0
POLITICS,LIBYAN ARAB JAMAHIRIYA,4.0
ORGANIZED CRIME,MEXICO,1.0
POLITICAL ASYLUM,KOREA DEMOCRATIC PEOPLE'S REPUBLIC OF,1.0
BURN INJURIES,JORDAN,1.0
SPORTS GOVERNING BODIES,MIDDLE EAST,1.0
APPEALS COURTS,BELARUS,1.0
WATER QUALITY,EGYPT,1.0
BRIBERY,IRAQ,4.0
CLERGY & RELIGIOUS,SINGAPORE,1.0
POLITICAL PARTIES,ISRAEL,21.0
TORT REFORM,EGYPT,1.0
OIL EXPLORATION,MIDDLE EAST,2.0
AVALANCHES,TIBET,1.0
AIR FORCES,CANADA,5.0
CONSTRUCTION CONTRACTING,KOREA REPUBLIC OF,2.0
FAMILY,SWEDEN,1.0
MEDICAL INSURANCE CLAIMS,EGYPT,1.0
ECONOMIC GROWTH,UNITED STATES,15.0
SPORTS AWARDS,GERMANY,12.0
BUTADIENE,CHINA,1.0
FASHION DESIGNERS,EGYPT,1.0
US FEDERAL GOVERNMENT,UNITED STATES,117.0
TENNIS,SERBIA,5.0
INTERNET & WWW,UNITED KINGDOM,4.0
ELECTRONIC MAIL,INDIA,3.0
FORENSICS,FRANCE,1.0
INTERNATIONAL TOURISM,PALESTINIAN TERRITORY OCCUPIED,2.0
TERRORISM,INDIA,15.0
FAMINE,MALAYSIA,1.0
PUNITIVE DAMAGES,IRAQ,1.0
RANKINGS,CANADA,3.0
APPEALS COURTS,INDONESIA,1.0
MUSIC,AUSTRALIA,8.0
ECOTOURISM,POLAND,1.0
NATURAL RESOURCES,EARTH,1.0
STADIUMS & ARENAS,QUEENSLAND AUSTRALIA,2.0
DEFENSE CONTRACTING,CHINA,3.0
SCHOOL PERFORMANCE,HONG KONG,1.0
GOVERNMENT BUDGETS,JAPAN,1.0
GROCERY STORES & SUPERMARKETS,MOROCCO,1.0
SENTENCING,VENEZUELA BOLIVARIAN REPUBLIC OF,1.0
WHEAT MARKETS,UNITED STATES,1.0
COSMETICS & TOILETRIES,ASIA,2.0
ECONOMIC CONDITIONS,SCOTLAND,1.0
GOLF TOURNAMENTS,SOUTH AFRICA,7.0
WEALTHY PEOPLE,SCOTLAND,1.0
GENOMICS,EGYPT,1.0
WILLS,IRAQ,3.0
ELECTRIC POWER PLANTS,JAPAN,6.0
UNEMPLOYED PERSONS,SOMALIA,2.0
LARCENY & THEFT,HAITI,2.0
FORMULA ONE RACING,DUBAI UNITED ARAB EMIRATES,2.0
SPORTS & RECREATION,MOROCCO,6.0
RANKINGS,CHINA,4.0
TAX AUTHORITIES,ETHIOPIA,2.0
REBELLIONS & INSURGENCIES,NIGER,1.0
INTERNET SOCIAL NETWORKING,MOROCCO,1.0
DIESEL FUEL,LONDON ENGLAND,2.0
BOAT DEALERS,UNITED ARAB EMIRATES,1.0
INSTITUTIONAL CONSTRUCTION,UNITED STATES,1.0
BUTANE,QATAR,2.0
COMMERCIAL & GENERAL AVIATION AIRCRAFT,MIDDLE EAST,1.0
COMPANY PROFITS,QATAR,3.0
CORRECTIONS WORKERS,JORDAN,1.0
BURN INJURIES,YEMEN,3.0
RESIGNATIONS,HOLY SEE,1.0
EXTERNAL DEBT REDUCTION,EGYPT,1.0
OIL & GAS EXTRACTION,UNITED STATES,13.0
OPIUM,AFGHANISTAN,1.0
MISSILE SYSTEMS,BELGIUM,1.0
RUGBY,DUBAI UNITED ARAB EMIRATES,5.0
US FEDERAL ELECTIONS,UNITED STATES,1.0
DEFENSE ELECTRONICS,SUDAN,2.0
NATURAL GAS MARKETS,PARIS FRANCE,2.0
US PRESIDENTIAL ELECTIONS,CHINA,2.0
ACTORS & ACTRESSES,PALESTINIAN TERRITORY OCCUPIED,2.0
APPROVALS,NORTHEAST USA,1.0
DEFENSE SPENDING,YEMEN,2.0
ASSASSINATION,PALESTINIAN TERRITORY OCCUPIED,10.0
SECURITIES TRADING,CANADA,1.0
INTERVIEWS,PARIS FRANCE,2.0
ADVICE COLUMNS,MALAYSIA,1.0
PRIME MINISTERS,WALES,1.0
EMBASSIES & CONSULATES,CAIRO EGYPT,7.0
SNACK FOODS,UNITED STATES,1.0
CRIMINAL CONVICTIONS,SAUDI ARABIA,8.0
AIRLINES PASSENGER TRAFFIC,AUSTRALIA,2.0
CURRICULA,YEMEN,1.0
CRIMINAL LAW,CANADA,1.0
GOVERNMENT BONDS,JAPAN,1.0
COLD WAR,UNITED STATES,22.0
ECONOMIC RECOVERY,IRELAND,2.0
SLEEP DISORDERS,SAUDI ARABIA,1.0
EXPERIMENTAL DRUGS,SAUDI ARABIA,1.0
ENTREPRENEURSHIP,AUSTRALIA,1.0
TREASON,TUNISIA,12.0
NUCLEAR ENERGY,IRELAND,1.0
CURRENCIES,SUDAN,3.0
FINES & PENALTIES,SYRIA,1.0
INTERROGATION OF SUSPECTS,AUSTRALIAN CAPITAL TERRITORY,1.0
SPORTS,HAWAII USA,2.0
MULTILINGUALISM,PORTUGAL,3.0
RESEARCH,QATAR,2.0
BOYCOTTS,BAHRAIN,1.0
GENETIC ENGINEERING,CAIRO EGYPT,2.0
ENTERTAINMENT & ARTS AWARDS,UNITED KINGDOM,6.0
GOLF & COUNTRY CLUBS,SCOTLAND,1.0
CHRISTMAS,INDIA,2.0
FARM LABOR,IRAQ,1.0
ATHLETES,NEW ZEALAND,6.0
TRAVEL AGENTS,ISRAEL,2.0
YOGA,MANCHESTER ENGLAND,2.0
PUBLIC POLICY,ASIA,1.0
TELECOMMUNICATIONS,RWANDA,2.0
COLLEGE STUDENTS,SUDAN,1.0
GIFTED EDUCATION,EGYPT,1.0
GOVERNMENT TOURIST OFFICES,CARIBBEAN ISLANDS,1.0
PUBLISHING,GERMANY,1.0
MUBARAK RESIGNATION,PALESTINIAN TERRITORY OCCUPIED,1.0
CONTROLLED SUBSTANCES CRIME,COLOMBIA,1.0
MUSEUMS & GALLERIES,UNITED ARAB EMIRATES,3.0
GLOBAL POSITIONING SYSTEM,ISRAEL,3.0
SENIOR CITIZENS,IRAQ,1.0
PRISONS,TURKEY,1.0
CELEBRITIES,LIVERPOOL ENGLAND,2.0
SEWERAGE SYSTEMS,ABU DHABI UNITED ARAB EMIRATES,1.0
POETRY,FRANCE,1.0
BURN INJURIES,UNITED STATES,3.0
SOCCER TOURNAMENTS,SUDAN,3.0
POLITICAL ASYLUM,YEMEN,1.0
OIL & GAS PRICES,HONG KONG,1.0
BOYCOTTS,PALESTINIAN TERRITORY OCCUPIED,2.0
WIRELESS INDUSTRY,IRAN ISLAMIC REPUBLIC OF,3.0
CRIMINAL ACCESSORIES,SAUDI ARABIA,1.0
AUTOPSIES,KUWAIT,1.0
WAR ON TERROR,UNITED ARAB EMIRATES,1.0
GAS TO LIQUIDS TECHNOLOGY,QATAR,2.0
JAUNDICE,SAUDI ARABIA,1.0
DEVELOPMENT BANKS,NIGERIA,2.0
CITY GOVERNMENT,NEW ZEALAND,2.0
INTERNET RETAILING,UNITED ARAB EMIRATES,1.0
CRUDE OIL PRICES,TAIWAN PROVINCE OF CHINA,1.0
POLICE FORCES,MAURITANIA,1.0
INTERNATIONAL ECONOMIC ORGANIZATIONS,SOUTH-EASTERN ASIA,1.0
CANCER,CHINA,1.0
CANALS & WATERWAYS,ISRAEL,1.0
AQUIFERS & WATERSHEDS,YEMEN,3.0
PACKAGED GOODS,UNITED STATES,1.0
RECESSION,LIBYAN ARAB JAMAHIRIYA,1.0
CONTRACTS & BIDS,CHINA,5.0
POSTWAR RECONSTRUCTION,AUSTRALIA,1.0
NATURAL DISASTERS,EGYPT,3.0
TELECOMMUNICATIONS EQUIPMENT,CANADA,1.0
TEST LABORATORIES,UNITED STATES,1.0
BEVERAGE INDUSTRY,ASIA,1.0
EXHIBITIONS,UNITED KINGDOM,3.0
EURO ZONE,EUROPE,10.0
AIRLINES,ENGLAND,1.0
CONFERENCES & CONVENTIONS,RUSSIAN FEDERATION,1.0
OBESITY,SAUDI ARABIA,1.0
SPORTS & RECREATION EVENTS,IRAN ISLAMIC REPUBLIC OF,11.0
POOR POPULATION,TUNISIA,14.0
ENTERTAINMENT & ARTS,SPAIN,1.0
REBELLIONS & INSURGENCIES,TUNISIA,12.0
LITIGATION,NORTH CENTRAL CHINA,1.0
US DEMOCRATIC PARTY,CONNECTICUT USA,9.0
SCIENCE NEWS,ECUADOR,1.0
LODGING INDUSTRY SECTOR PERFORMANCE,EGYPT,2.0
WOMEN,JAPAN,1.0
PHYSICIANS & SURGEONS,SAUDI ARABIA,1.0
MINING OUTPUT,YEMEN,1.0
CELEBRITIES,ISRAEL,2.0
MARKET SHARE,TUNISIA,2.0
INSPECTIONS,CANADA,1.0
CLERGY & RELIGIOUS,SWITZERLAND,1.0
HOSPITALS,CHINA,1.0
CABLE INDUSTRY,EUROPE,1.0
SATELLITE TELEVISION,SUDAN,2.0
APPROVALS,NEW ZEALAND,4.0
INVESTIGATIONS,AUSTRALIA,29.0
COUNTRY RISK,CHINA,3.0
WAR & CONFLICT,NAURU,1.0
INTERVIEWS,SOMALIA,4.0
REFEREES & UMPIRES,BAHRAIN,5.0
RESIGNATIONS,TURKEY,1.0
SOVEREIGN RISK,LEBANON,1.0
SPORTS & RECREATION EVENTS,CAIRO EGYPT,10.0
ENERGY MARKETS,IRAQ,1.0
COST OF LIVING,AUSTRALIA,1.0
MONOPOLIZATION,RUSSIAN FEDERATION,1.0
DEPORTATION,WALES,1.0
SUPREME COURTS,SOMALIA,1.0
CANALS & WATERWAYS,UNITED ARAB EMIRATES,1.0
REAL ESTATE BUBBLE,INDIA,4.0
RELIGION,JAPAN,2.0
PUBLIC TELEVISION,PALESTINIAN TERRITORY OCCUPIED,1.0
DEVELOPMENT BANKS,YEMEN,4.0
PRODUCT REVIEWS,CANADA,1.0
DEFENSE INDUSTRY,AUSTRALIA,2.0
INSURANCE,CHINA,3.0
MULTILINGUALISM,EGYPT,1.0
HISTORIC DISTRICTS & STRUCTURES,UNITED KINGDOM,1.0
WAR & CONFLICT,LEBANON,25.0
COMMODITIES TRADING,FRANCE,2.0
ALLIANCES & PARTNERSHIPS,DUBAI UNITED ARAB EMIRATES,3.0
SCIENCE FUNDING,SYRIA,1.0
CURFEW,LONDON ENGLAND,3.0
CHRISTMAS,QUEENSLAND AUSTRALIA,3.0
BOOK REVIEWS,LONDON ENGLAND,3.0
COMEDY FILMS,AFGHANISTAN,1.0
TAXES & TAXATION,ANTARCTICA,2.0
FINE JEWELRY,ADELAIDE AUSTRALIA,2.0
COUNTERFEITING,LONDON ENGLAND,2.0
WORLD WAR II,NEW ZEALAND,1.0
ELECTION FRAUD,ALGERIA,1.0
WORLD WAR II,ISRAEL,4.0
INFANTS & TODDLERS,TAMPA FL USA,1.0
SPORTS AGENTS & PROMOTERS,JORDAN,1.0
FORMULA ONE RACING,ABU DHABI UNITED ARAB EMIRATES,9.0
CRIMINAL LAW,TURKEY,2.0
TAXES & TAXATION,MEXICO,1.0
RELIEF ORGANIZATIONS,SUDAN,6.0
PRIME MINISTERS,ALBANIA,4.0
ANTI-INFLAMMATORY AGENTS,TUNISIA,1.0
DEFENSE INDUSTRY,PALESTINIAN TERRITORY OCCUPIED,1.0
MIGRANT WORKERS,MALAYSIA,1.0
ECONOMIC POLICY,MIDDLE EAST,3.0
BASKETBALL,INDIA,1.0
FESTIVALS,PARIS FRANCE,1.0
DEREGULATION,MOLDOVA REPUBLIC OF,1.0
INVESTMENT BANKING,UNITED KINGDOM,4.0
FIREFIGHTERS & FIREFIGHTING,ISRAEL,1.0
HOLIDAYS & OBSERVANCES,BAGHDAD IRAQ,1.0
POVERTY & HOMELESSNESS,CHINA,1.0
ART DEALERS,ASIA,1.0
MORTGAGE BANKING & FINANCE,UNITED KINGDOM,1.0
NATURAL GAS PRODUCTS,NORTHEAST USA,1.0
MILITARY AIRCRAFT,HAITI,1.0
PUBLIC DEFENDERS,BAHRAIN,1.0
CALL CENTERS,EGYPT,2.0
HOSPITALS,PALESTINIAN TERRITORY OCCUPIED,2.0
PRESIDENTIAL ELECTIONS,COLOMBIA,1.0
INTERNATIONAL TRADE,TANZANIA UNITED REPUBLIC OF,1.0
BONE FRACTURES,KOREA REPUBLIC OF,1.0
FINANCIAL RESULTS,MIDDLE EAST,1.0
EMPLOYMENT GROWTH,MIDDLE EAST,2.0
EMBASSIES & CONSULATES,KARACHIPAKISTAN,1.0
HOLIDAYS & OBSERVANCES,MALDIVES,1.0
SOCCER,CONGO,3.0
SMUGGLING,SYRIA,2.0
ENGINEERING,HAITI,2.0
HAIR STYLING SERVICES,UNITED STATES,1.0
LETTERS & COMMENTS,TORONTO ON CANADA,1.0
DECISIONS & RULINGS,KABUL AFGHANISTAN,1.0
COOKING & ENTERTAINING,MOROCCO,2.0
RELOCATIONS,UNITED ARAB EMIRATES,4.0
ROBBERY,ISRAEL,1.0
CITIZENSHIP LAW,SUDAN,1.0
ANNIVERSARIES,KOREA DEMOCRATIC PEOPLE'S REPUBLIC OF,1.0
MUSIC,ISRAEL,1.0
VIOLENT CRIME,ISRAEL,2.0
LIMITED PARTNERSHIPS,NIGERIA,2.0
CRIMINAL CONVICTIONS,YEMEN,6.0
HOMEOWNERS ASSOCIATIONS,TEXAS USA,1.0
INDUSTRY ANALYSTS,INDONESIA,1.0
SPORTS AWARDS,WALES,1.0
DOMESTIC VIOLENCE,UNITED ARAB EMIRATES,3.0
WATER SUPPLY UTILITIES,UNITED ARAB EMIRATES,1.0
HORSE RACING,AUSTRALIA,3.0
DISTANCE LEARNING,SIERRA LEONE,2.0
NATIONAL SECURITY,NIGER,1.0
ELECTION FRAUD,VENEZUELA BOLIVARIAN REPUBLIC OF,1.0
MILITARY OPERATIONS,JORDAN,1.0
ARCHAEOLOGY,CAIRO EGYPT,2.0
FOSSIL FUEL POWER PLANTS,ASIA,4.0
JURISDICTION,ARGENTINA,1.0
TOURISM DEVELOPMENT,MALI,2.0
NAVIES,FALKLAND ISLANDS (MALVINAS),1.0
INTERNATIONAL RELATIONS,COTE D'IVOIRE,11.0
TAKEOVERS,AUSTRALIA,1.0
ARREST WARRANTS,LEBANON,5.0
THEATER,NEW YORK NY USA,2.0
ESPIONAGE,INDIA,5.0
SPORTS BUSINESS,BEIRUT LEBANON,1.0
WOMEN,WESTERN EUROPE,3.0
CONSUMER ELECTRONICS MFG,INDONESIA,1.0
PRICE CHANGES,TUNISIA,10.0
PRIME MINISTERS,UNITED STATES,104.0
DRUG DESIGN & DISCOVERY,UNITED STATES,1.0
EXPORT TRADE,FRANCE,2.0
SALES FIGURES,PHILIPPINES,2.0
ALCOHOLS,EGYPT,1.0
COMMODITIES EXCHANGES,TURKEY,3.0
EMBASSIES & CONSULATES,UNITED ARAB EMIRATES,12.0
OIL & GAS CONSUMPTION,SAUDI ARABIA,2.0
MILITARY HOSPITALS,NEW ZEALAND,1.0
JAIL SENTENCING,UNITED ARAB EMIRATES,13.0
NATURAL GAS LIQUIDS,UNITED STATES,1.0
ETHNICITY,CANADA,1.0
TAX LAW,ITALY,2.0
DEBIT CARDS,EGYPT,3.0
HEADS OF STATE & GOVERNMENT,UNITED ARAB EMIRATES,15.0
PARAMILITARY & MILITIA,CHRISTMAS ISLAND,1.0
COST OF LIVING,PORTUGAL,1.0
EXPORT PRICES,ALGERIA,4.0
MURDER,ISRAEL,13.0
OIL & GAS EXTRACTION,ABU DHABI UNITED ARAB EMIRATES,1.0
EDITORIALS & OPINIONS,LIVERPOOL ENGLAND,1.0
ECONOMIC NEWS,IRELAND,1.0
SMUGGLING,PALESTINIAN TERRITORY OCCUPIED,6.0
EMBASSIES & CONSULATES,KOREA REPUBLIC OF,4.0
BENCHMARKING,UNITED ARAB EMIRATES,1.0
EMBASSIES & CONSULATES,LIBYAN ARAB JAMAHIRIYA,1.0
BEACHES,UNITED STATES,5.0
FASHION DESIGNERS,CAIRO EGYPT,1.0
DOCUMENTARY FILMS,ISRAEL,1.0
CRUISES,MALDIVES,2.0
PARAMILITARY & MILITIA,BAGHDAD IRAQ,2.0
SMUGGLING,ALGERIA,2.0
FREEDOM OF RELIGION,ISRAEL,1.0
MILITARY WEAPONS,IRAN ISLAMIC REPUBLIC OF,29.0
BRANDING,LEBANON,2.0
CONTRACT AWARDS,ABU DHABI UNITED ARAB EMIRATES,1.0
NATIONAL SECURITY,INDIA,2.0
JANUARY 2010 HAITI EARTHQUAKE,HAITI,4.0
PHYSICAL THERAPY,UNITED ARAB EMIRATES,1.0
RELIEF ORGANIZATIONS,NIGERIA,1.0
PERFORMING ARTS CENTERS,UNITED KINGDOM,4.0
MUSLIMS & ISLAM,EGYPT,680.0
FOREIGN INVESTMENT,IRAQ,4.0
APPOINTMENTS,UKRAINE,1.0
HIJACKING,KOREA REPUBLIC OF,34.0
EXERCISE & FITNESS,SYDNEY AUSTRALIA,1.0
GLOBALIZATION,SWITZERLAND,2.0
SURVEILLANCE TECHNOLOGY,TUNISIA,2.0
VIETNAM WAR,TUNISIA,1.0
ARMIES,ZIMBABWE,2.0
OIL & GAS PRICES,UNITED ARAB EMIRATES,4.0
TELEVISION INDUSTRY,PHILIPPINES,5.0
AIRLINE ALLIANCES & PARTNERSHIPS,AUSTRALIA,3.0
WILD CATS,GERMANY,1.0
SEX OFFENSES,RUSSIAN FEDERATION,4.0
MARITIME PIRACY,MALAYSIA,3.0
DEPORTATION,DUBAI UNITED ARAB EMIRATES,5.0
RELIGION,UKRAINE,1.0
GAS STATIONS,JORDAN,1.0
SINGERS & MUSICIANS,EGYPT,4.0
AVIONICS,UNITED STATES,3.0
PRICE INCREASES,FLORIDA USA,2.0
INTERNET & WWW,CANADA,1.0
POLITICAL SCIENCE,PALESTINIAN TERRITORY OCCUPIED,1.0
TRENDS,QUEBEC CANADA,1.0
NATIONAL SECURITY,TUNISIA,25.0
NAVIES,SEYCHELLES,1.0
GLOBAL WARMING,IRAQ,5.0
CURRENCIES,PHILIPPINES,1.0
TERRITORIAL & NATIONAL BORDERS,IRAN ISLAMIC REPUBLIC OF,14.0
BLOGS & MESSAGE BOARDS,MIDDLE EAST,1.0
SENTENCING,AFRICA,1.0
TELEVISION EQUIPMENT,ISRAEL,1.0
EMERGING MARKETS,KOREA REPUBLIC OF,1.0
INTERIM FINANCIAL RESULTS,SINGAPORE,1.0
WEALTHY PEOPLE,ENGLAND,1.0
HUMAN RIGHTS ORGANIZATIONS,BOLIVIA,1.0
AVIATION TRANSPORTATION LAW,SAUDI ARABIA,1.0
FILM,UNITED STATES,34.0
GASOLINE PRICES,UKRAINE,1.0
HORSES,LONDON ENGLAND,2.0
GOVERNMENT BONDS,UNITED KINGDOM,2.0
2011 EGYPTIAN PROTESTS,LATVIA,1.0
MARKET RESEARCH & ANALYSIS,AUSTRALIA,1.0
LAW ENFORCEMENT,MOZAMBIQUE,2.0
PERSONAL COMPUTERS,AUSTRALIA,1.0
SPECIAL INVESTIGATIVE FORCES,NEW ZEALAND,1.0
JOURNALISM,ISRAEL,4.0
CRUDE OIL & NATURAL GAS EXTRACTION,TUNISIA,2.0
NATURAL GAS & ELECTRIC UTILITIES,YEMEN,1.0
INTERNATIONAL ECONOMIC ORGANIZATIONS,AFGHANISTAN,1.0
US SENATE ELECTIONS,UNITED STATES,6.0
SUICIDE BOMBINGS,MOROCCO,2.0
NONPROFIT ORGANIZATIONS,PAKISTAN,1.0
MARKET SHARE,QATAR,1.0
SPORTS AGENTS & PROMOTERS,AUSTRALIA,1.0
LABOR UNIONS,ISRAEL,3.0
FASHION & APPAREL,UNITED ARAB EMIRATES,1.0
MURDER,BAGHDAD IRAQ,1.0
WAR & CONFLICT,ETHIOPIA,1.0
DEFENSE DEPARTMENTS,IRELAND,2.0
CABLE INDUSTRY,QATAR,1.0
ETHNIC GROUPS,UNITED STATES,3.0
JOB CREATION,MIDDLE EAST,2.0
PUBLISHING,SAUDI ARABIA,9.0
BRITISH PRIME MINISTERS,ISRAEL,3.0
EMERGING MARKETS,UGANDA,2.0
HOLIDAYS & OBSERVANCES,ADELAIDE AUSTRALIA,2.0
STATE DEPARTMENTS & FOREIGN SERVICES,TOGO,1.0
SATELLITE BROADCASTING,TUNISIA,4.0
BROADCASTING INDUSTRY,CANADA,1.0
3G WIRELESS,KOREA DEMOCRATIC PEOPLE'S REPUBLIC OF,1.0
AIRLINE ALLIANCES & PARTNERSHIPS,CANADA,1.0
CORN FARMING,UNITED STATES,1.0
MINING EQUIPMENT MFG,EGYPT,1.0
COMPUTER CRIME,UNITED KINGDOM,4.0
LINGUISTICS,BELGIUM,1.0
APPELLATE DECISIONS,LEBANON,1.0
LAWYERS,CHILE,1.0
EATING DISORDERS,AUSTRALIA,2.0
CRIMINAL CONVICTIONS,NORTHERN TERRITORY AUSTRALIA,1.0
SUSTAINABLE DEVELOPMENT,SUDAN,2.0
COMPANY LOSSES,NORTH AMERICA,1.0
COUNTRY MUSIC,SCOTLAND,1.0
PHARMACEUTICAL PREPARATION MFG,UNITED STATES,6.0
BED & BREAKFAST INNS,NEW ZEALAND,1.0
INTERNATIONAL RELATIONS,PARAGUAY,1.0
OIL & GAS EXPLORATION,UNITED STATES,3.0
MOUNTAINS,ALGERIA,2.0
2011 TUCSON SHOOTING,TUCSON AZ USA,5.0
WORLD WAR I,PALESTINIAN TERRITORY OCCUPIED,2.0
TALKS & MEETINGS,SAUDI ARABIA,9.0
SEPARATISM & SECESSION,BANGLADESH,1.0
STATISTICS,UNITED KINGDOM,4.0
LEVERAGED BUYOUTS,LIBYAN ARAB JAMAHIRIYA,1.0
COLLEGES & UNIVERSITIES,TEL AVIV ISRAEL,1.0
POLITICS,NIGERIA,17.0
ANIMALS,HONG KONG,1.0
INTERNATIONAL TRADE,NIGERIA,8.0
ECONOMIC DEVELOPMENT,CANADA,4.0
STRINGED INSTRUMENTS,PALESTINIAN TERRITORY OCCUPIED,1.0
MOVIE INDUSTRY,CALIFORNIA USA,1.0
HOLOCAUST,UKRAINE,1.0
WOMEN,KOREA REPUBLIC OF,2.0
PUBLIC BROADCASTING,TURKEY,2.0
RUGBY,ABU DHABI UNITED ARAB EMIRATES,11.0
SEXUAL HARASSMENT,ISRAEL,2.0
MUSLIMS & ISLAM,KENYA,3.0
APPROVALS,SAUDI ARABIA,8.0
ECONOMIC GROWTH,MALAYSIA,2.0
CIVIL WAR,IRAQ,8.0
HEADS OF STATE & GOVERNMENT,UNITED STATES,134.0
SMUGGLING,VICTORIA AUSTRALIA,1.0
ART & ARTISTS,UNITED KINGDOM,3.0
BOWLING CENTERS,NORTHERN ASIA,1.0
SPORTS TAMPERING,BAHRAIN,1.0
CHEMICALS EXPORTS & IMPORTS,INDIA,2.0
GRAPE VINEYARDS,CASTILE AND LEON SPAIN,1.0
DESERTS,JORDAN,1.0
MARKET OPEN CLOSE,EGYPT,3.0
HIKING,IRAN ISLAMIC REPUBLIC OF,4.0
EMBASSIES & CONSULATES,IRAN ISLAMIC REPUBLIC OF,38.0
INFLUENZA,DUBAI UNITED ARAB EMIRATES,1.0
RECESSION,QATAR,2.0
AGRICULTURE,MIDDLE EAST,4.0
EARNINGS PER SHARE,AUSTRALIA,5.0
BIOCHEMICAL RESEARCH,SAUDI ARABIA,1.0
PRESIDENTIAL ELECTIONS,KOREA REPUBLIC OF,1.0
PARAMILITARY & MILITIA,AFGHANISTAN,1.0
RUNOFF ELECTIONS,HAITI,1.0
BORDER CONTROL,UNITED STATES,10.0
DESTINATIONS & ATTRACTIONS,ASIA,1.0
EMERGING MARKETS,BANGLADESH,1.0
CAPITAL CRIMES,AFGHANISTAN,4.0
TREATIES & AGREEMENTS,UNITED KINGDOM,5.0
BIOGRAPHY PUBLISHING,SYRIA,2.0
RELIGION,GULF STATES,2.0
UNIT TRUSTS,UNITED STATES,1.0
ATHLETES,ASIA,4.0
HOME PRICES,TEXAS USA,1.0
FOOD INDUSTRY,SCOTLAND,1.0
VIRTUAL REALITY,QATAR,2.0
DISARMAMENT,UNITED KINGDOM,7.0
WAR & CONFLICT,JAPAN,2.0
STEPPARENTS,TUNISIA,2.0
COUPS,LEBANON,29.0
POSTAL SERVICE,CANADA,1.0
JUSTICE DEPARTMENTS,BOSNIA & HERZEGOVINA,2.0
SPACECRAFT,TUNISIA,1.0
COLD WAR,EUROPE,1.0
ENZYME INHIBITORS,GERMANY,1.0
MARKET SHARE,SOUTH AFRICA,1.0
TORTURE,PALESTINIAN TERRITORY OCCUPIED,3.0
MIDDLE INCOME PERSONS,AMMAN JORDAN,1.0
ARCHAEOLOGY,EASTERN AFRICA,3.0
COMMERCE DEPARTMENTS,LONDON ENGLAND,2.0
HEALTH CARE LAW,EGYPT,1.0
SENTENCING,NORTH CENTRAL CHINA,1.0
